0,Pair,launch_week_stamp,launch_day_stamp,launch_minute
APEUSDT,APE/USDT,1647216000000,1647475200000,2022-03-17 14:30:00
BADGERUSDT,BADGER/USDT,1614556800000,1614643200000,2021-03-02 08:00:00
PLAUSDT,PLA/USDT,1637539200000,1637625600000,2021-11-23 06:00:00
XNOUSDT,XNO/USDT,1642982400000,1643328000000,2022-01-28 08:00:00
DOGEUSDT,DOGE/USDT,1561939200000,1562284800000,2019-07-05 12:00:00
WAVESUSDT,WAVES/USDT,1547424000000,1547769600000,2019-01-18 10:00:00
ZILUSDT,ZIL/USDT,1550448000000,1550534400000,2019-02-19 11:04:00
STMXUSDT,STMX/USDT,1591574400000,1591833600000,2020-06-11 03:00:00
MBLUSDT,MBL/USDT,1581897600000,1582243200000,2020-02-21 14:00:00
AXSUSDT,AXS/USDT,1604275200000,1604448000000,2020-11-04 13:00:00
ASTRUSDT,ASTR/USDT,1646006400000,1646006400000,2022-02-28 11:30:00
ADXUSDT,ADX/USDT,1635120000000,1635465600000,2021-10-29 10:00:00
EPSUSDT,EPS/USDT,1616976000000,1617321600000,2021-04-02 09:00:00
SNXUSDT,SNX/USDT,1593993600000,1594252800000,2020-07-09 12:00:00
MTLUSDT,MTL/USDT,1566172800000,1566518400000,2019-08-23 10:00:00
ZRXUSDT,ZRX/USDT,1551052800000,1551312000000,2019-02-28 04:00:00
ELFUSDT,ELF/USDT,1630886400000,1631059200000,2021-09-08 08:00:00
NEARUSDT,NEAR/USDT,1602460800000,1602633600000,2020-10-14 05:00:00
ENSUSDT,ENS/USDT,1636329600000,1636502400000,2021-11-10 07:00:00
SCRTUSDT,SCRT/USDT,1642377600000,1642723200000,2022-01-21 12:00:00
NMRUSDT,NMR/USDT,1597622400000,1597795200000,2020-08-19 12:00:00
SKLUSDT,SKL/USDT,1606694400000,1606780800000,2020-12-01 01:00:00
GRTUSDT,GRT/USDT,1607904000000,1608163200000,2020-12-17 20:30:00
MOBUSDT,MOB/USDT,1650844800000,1651190400000,2022-04-29 10:00:00
DNTUSDT,DNT/USDT,1604880000000,1604966400000,2020-11-10 06:00:00
QUICKUSDT,QUICK/USDT,1628467200000,1628812800000,2021-08-13 12:00:00
