,Model-FileName,TAKE_PROFIT,STOP_LOSS,MAX_HOLDING_TIME,FinalValue,Profit,ROI,Nbr_wins,best_win,worst_loss
0,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,2.9,2,180,466.8439793174237,-83.15602068257635,-15.119276487741152,0,547.1524643109425,480.7090109852906
1,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,4.0,2,180,460.121354652776,-89.878645347224,-16.341571881313456,0,546.4638780586571,460.49013470239
2,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,5.0,2,180,526.9453262022998,-23.05467379770016,-4.19175887230912,0,545.0111687648599,517.6484410658832
3,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,0.9,2,180,388.5822831453569,-161.41771685464312,-29.34867579175329,0,553.6588905760829,409.24840736667113
4,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,1.3,2,180,401.6296292928329,-148.37037070716713,-26.97643103766675,0,557.9255649696894,426.5882444094708
5,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,1.7,2,180,484.49225408334286,-65.50774591665714,-11.910499257574026,0,578.5205104334243,492.7882373670964
6,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,2.3,2,180,455.586480394332,-94.41351960566806,-17.166094473757827,0,553.0077505460463,466.6458193195124
7,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,2.7,2,180,457.3717369523341,-92.62826304766588,-16.841502372302887,0,553.0077505460463,466.1379709216077
8,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,3.0,2,180,470.47117766983206,-79.52882233016794,-14.459785878212353,0,547.1524643109425,489.065951751518
9,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,3.3,2,180,478.0351055677464,-71.96489443225357,-13.08452626040974,0,547.151799308776,477.0848713659768
10,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,2.9,2,240,499.0054781624343,-50.994521837565685,-9.27173124319376,0,574.6603408444237,506.9063452003573
11,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,4.0,2,240,519.591619511153,-30.408380488847,-5.5287964525176365,0,577.3987711847052,516.9562103869492
12,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,5.0,2,240,524.9353718448856,-25.06462815511441,-4.5572051191117104,0,553.4080051403703,529.676995034071
13,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,0.9,2,240,373.2855430561758,-176.7144569438242,-32.129901262513485,0,552.7835204881063,393.95166727749006
14,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,1.3,2,240,402.9929365809746,-147.00706341902537,-26.72855698527734,0,554.9855856483124,446.8848091110451
15,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,1.7,2,240,474.51031521724,-75.48968478276004,-13.725397233229096,0,575.5736652645626,486.83834466440254
16,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,2.3,2,240,479.4464638996918,-70.55353610030818,-12.827915654601489,0,574.7235245713989,497.7412831333133
17,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,2.7,2,240,486.18573074023936,-63.81426925976064,-11.60259441086557,0,574.7235245713989,504.7086269922351
18,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,3.0,2,240,501.8322132836301,-48.16778671636996,-8.757779402976357,0,574.6603408444237,520.1557704565607
19,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,3.3,2,240,505.28473660391336,-44.71526339608664,-8.130047890197572,0,575.2221046918264,508.5062982712898
20,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,2.9,2,60,535.2797123109349,-14.720287689065117,-2.676415943466385,0,589.4411340353196,543.0794153511035
21,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,4.0,2,60,573.1650723874407,23.16507238744066,4.211831343171029,0,623.4429617317685,562.733045288389
22,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,5.0,2,60,567.7410497665933,17.741049766593278,3.2256454121078684,0,610.0385940573992,565.3581057722351
23,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,0.9,2,60,401.1158520047883,-148.88414799521172,-27.0698450900385,0,522.5367266243214,419.7443062031763
24,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,1.3,2,60,420.8595623767266,-129.1404376232734,-23.48007956786789,0,542.4671620571838,441.8486708191868
25,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,1.7,2,60,447.54002381974095,-102.45997618025903,-18.62908657822892,0,570.9243719923336,482.6488240963221
26,/UltimeTradingBot/Data/IS_HIGH/tp409_w60_max120min_ModelModel_Re3.h5,2.3,2,60,506.441393195692,-43.558606804308056,-7.919746691692373,0,588.548613409262,521.916505556244
