,Model-FileName,TAKE_PROFIT,STOP_LOSS,MAX_HOLDING_TIME,FinalValue,Profit,ROI,Nbr_wins,best_win,worst_loss
0,/UltimeTradingBot/Data/IS_HIGH/tp310_w40_max40min_Model_true_win_model_Re1.h5,1.7,15.0,180,618.8849967553319,68.88499675533194,12.524544864605808,0,642.0533566809714,567.4098320323594
1,/UltimeTradingBot/Data/IS_HIGH/tp310_w40_max40min_Model_true_win_model_Re1.h5,2.7,15.0,180,605.3715403052288,55.37154030522879,10.067552782768873,0,650.8907167589049,597.0534217376444
2,/UltimeTradingBot/Data/IS_HIGH/tp310_w40_max40min_Model_true_win_model_Re1.h5,1.7,15.0,1440,534.0373946579452,-15.962605342054758,-2.902291880373592,0,577.1900511710037,533.4994908415398
3,/UltimeTradingBot/Data/IS_HIGH/tp310_w40_max40min_Model_true_win_model_Re1.h5,2.7,15.0,1440,584.9535126680732,34.953512668073245,6.355184121467862,0,608.0076797414338,559.3784522281273
4,/UltimeTradingBot/Data/IS_HIGH/tp310_w40_max40min_Model_true_win_model_Re1.h5,1.7,1.0,180,526.6585194943876,-23.341480505612367,-4.243905546474975,0,619.4080760592708,510.8511509126274
5,/UltimeTradingBot/Data/IS_HIGH/tp310_w40_max40min_Model_true_win_model_Re1.h5,2.7,1.0,180,529.5165793670345,-20.48342063296548,-3.7242582969028137,0,595.6212410369359,530.909876264753
6,/UltimeTradingBot/Data/IS_HIGH/tp310_w40_max40min_Model_true_win_model_Re1.h5,1.7,1.0,1440,526.6585194943876,-23.341480505612367,-4.243905546474975,0,619.4080760592708,510.8511509126274
7,/UltimeTradingBot/Data/IS_HIGH/tp310_w40_max40min_Model_true_win_model_Re1.h5,2.7,1.0,1440,529.5164497598297,-20.483550240170302,-3.724281861849146,0,595.623013646894,530.9116488747112
8,/UltimeTradingBot/Data/IS_CLOSE/TP270.0_MHT40min_Model_Re1.h5,1.7,15.0,180,524.8121255906967,-25.18787440930328,-4.579613528964232,0,646.1851131810532,563.8059787893441
9,/UltimeTradingBot/Data/IS_CLOSE/TP270.0_MHT40min_Model_Re1.h5,2.7,15.0,180,640.7471025428902,90.74710254289016,16.499473189616392,0,649.426029759257,569.3381635346475
10,/UltimeTradingBot/Data/IS_CLOSE/TP270.0_MHT40min_Model_Re1.h5,1.7,15.0,1440,520.8584312526256,-29.14156874737444,-5.29846704497717,0,562.8260105501449,527.7481352850235
11,/UltimeTradingBot/Data/IS_CLOSE/TP270.0_MHT40min_Model_Re1.h5,2.7,15.0,1440,519.9859764921005,-30.014023507899537,-5.457095183254461,0,562.960311688174,516.386937064754
12,/UltimeTradingBot/Data/IS_CLOSE/TP270.0_MHT40min_Model_Re1.h5,1.7,1.0,180,411.0135811222793,-138.98641887772067,-25.2702579777674,0,563.156713838566,443.7072296394354
13,/UltimeTradingBot/Data/IS_CLOSE/TP270.0_MHT40min_Model_Re1.h5,2.7,1.0,180,477.57118815235856,-72.42881184764144,-13.168874881389351,0,555.9073263844039,504.2199608173965
14,/UltimeTradingBot/Data/IS_CLOSE/TP270.0_MHT40min_Model_Re1.h5,1.7,1.0,1440,407.1311541259921,-142.8688458740079,-25.97615379527416,0,562.1458058529101,466.7358164052812
15,/UltimeTradingBot/Data/IS_CLOSE/TP270.0_MHT40min_Model_Re1.h5,2.7,1.0,1440,471.247673678169,-78.75232632183099,-14.318604785787452,0,557.781876114213,506.2736037921124
16,/UltimeTradingBot/Data/IS_CLOSE/tp133_w33_max33min_ModelModel_Re1.h5,1.7,15.0,180,571.3890152219658,21.389015221965792,3.8889118585392346,0,632.6313787465841,565.664608557795
17,/UltimeTradingBot/Data/IS_CLOSE/tp133_w33_max33min_ModelModel_Re1.h5,2.7,15.0,180,597.9916886671232,47.99168866712319,8.725761575840579,0,656.5347937235491,601.7536472439011
18,/UltimeTradingBot/Data/IS_CLOSE/tp133_w33_max33min_ModelModel_Re1.h5,1.7,15.0,1440,610.5280333315893,60.52803333158931,11.005096969379876,0,638.290602294088,565.664608557795
19,/UltimeTradingBot/Data/IS_CLOSE/tp133_w33_max33min_ModelModel_Re1.h5,2.7,15.0,1440,595.5325162625755,45.53251626257554,8.27863932046828,0,662.193299001371,598.180849024186
20,/UltimeTradingBot/Data/IS_CLOSE/tp133_w33_max33min_ModelModel_Re1.h5,1.7,1.0,180,579.4074017642404,29.407401764240376,5.346800320770977,0,632.4361533658451,564.9810642506967
21,/UltimeTradingBot/Data/IS_CLOSE/tp133_w33_max33min_ModelModel_Re1.h5,2.7,1.0,180,615.8712649140443,65.87126491404433,11.976593620735333,0,641.2938566560204,592.3367753476363
22,/UltimeTradingBot/Data/IS_CLOSE/tp133_w33_max33min_ModelModel_Re1.h5,1.7,1.0,1440,579.4074017642404,29.407401764240376,5.346800320770977,0,632.4361533658451,564.9810642506967
23,/UltimeTradingBot/Data/IS_CLOSE/tp133_w33_max33min_ModelModel_Re1.h5,2.7,1.0,1440,615.2961235387988,65.29612353879884,11.872022461599787,0,640.7187152807749,592.3367753476363
24,/UltimeTradingBot/Data/IS_CLOSE/tp130_w25_max25min_Model_true_win_model_Re1.h5,1.7,15.0,180,512.904058540269,-37.095941459730966,-6.744716629041994,0,548.4444438914027,512.904058540269
25,/UltimeTradingBot/Data/IS_CLOSE/tp130_w25_max25min_Model_true_win_model_Re1.h5,2.7,15.0,180,524.9286659686825,-25.07133403131752,-4.558424369330458,0,561.8247074284134,524.9286659686825
